                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0359,                 3.1234,                 3.5789,                0.02303,                0.62176,                0.03237,                0.00767,                  3.127,                 48.484,                 3.8439,               0.067375,             0.00032955,             0.00032955
                      2,                 2.8308,                 2.6672,                 3.2565,                0.06765,                0.37306,                0.04753,                0.01164,                 2.8569,                 6.9338,                 3.5958,               0.034373,             0.00066069,             0.00066069
                      3,                 2.3245,                 2.5217,                 2.9821,                0.22918,                0.40415,                0.21269,                0.07504,                 2.2107,                 5.6288,                 3.0768,              0.0013684,             0.00098964,             0.00098964
                      4,                 2.1708,                 2.4061,                  2.768,                0.07492,                0.51813,                0.06145,                 0.0254,                 1.8766,                 6.2416,                 2.8477,              0.0009901,              0.0009901,              0.0009901
                      5,                 2.0311,                 2.3384,                 2.6369,                0.41195,                0.40415,                  0.391,                 0.1855,                 1.7844,                  3.049,                 2.8355,              0.0009901,              0.0009901,              0.0009901
                      6,                 1.9683,                 2.2523,                 2.5438,                 0.4849,                 0.5544,                0.42914,                0.16787,                 1.7121,                 3.4559,                 2.5779,              0.0009868,              0.0009868,              0.0009868
                      7,                  1.873,                 2.1605,                 2.4898,                0.48544,                0.47905,                0.39987,                0.14912,                 1.9561,                 2.1964,                 2.6262,              0.0009835,              0.0009835,              0.0009835
                      8,                 1.8427,                 2.1337,                 2.4203,                 0.3735,                0.41451,                   0.35,                0.12833,                 2.0017,                 2.3648,                 2.6672,              0.0009802,              0.0009802,              0.0009802
                      9,                 1.7858,                 2.0279,                 2.3944,                0.32608,                 0.3535,                0.24723,                0.10169,                  1.828,                 2.5002,                  2.563,              0.0009769,              0.0009769,              0.0009769
                     10,                  1.719,                  2.007,                 2.3483,                0.36629,                0.46114,                0.29276,                0.10797,                 1.8915,                 2.6079,                 2.6242,              0.0009736,              0.0009736,              0.0009736
                     11,                 1.7008,                 1.9834,                 2.3175,                0.40454,                0.39896,                0.35731,                0.13835,                 2.1427,                  2.299,                 2.8376,              0.0009703,              0.0009703,              0.0009703
                     12,                 1.6708,                  1.916,                 2.2909,                0.63098,                0.53886,                0.58026,                0.28805,                 1.7106,                 1.8455,                 2.3953,               0.000967,               0.000967,               0.000967
                     13,                 1.6364,                 1.8443,                 2.2336,                0.34197,                0.32043,                0.26193,                0.08619,                 2.2288,                 2.5541,                 2.8585,              0.0009637,              0.0009637,              0.0009637
                     14,                 1.6144,                 1.8361,                  2.228,                0.69216,                0.65285,                0.67284,                0.35871,                 1.5883,                 1.6489,                 2.3075,              0.0009604,              0.0009604,              0.0009604
                     15,                 1.5837,                 1.7679,                 2.1986,                0.54151,                0.48705,                0.49225,                0.22481,                 1.8492,                 2.3511,                 2.5549,              0.0009571,              0.0009571,              0.0009571
                     16,                  1.574,                  1.735,                 2.1694,                0.55503,                 0.5285,                0.54267,                0.25007,                 1.8814,                 1.8413,                 2.4699,              0.0009538,              0.0009538,              0.0009538
                     17,                 1.5451,                 1.6755,                 2.1316,                0.64105,                0.42487,                0.50478,                0.23808,                 1.7839,                 2.1124,                 2.4421,              0.0009505,              0.0009505,              0.0009505
